ordinal,rank,score,valid,scoreDisplay,competitorId,year,competition
5.0,17.0,52.0,1.0,CAP+9,74320.0,2022,games
6.0,4.0,91.0,1.0,32:47.67,74320.0,2022,games
7.0,4.0,91.0,1.0,13:37.84,74320.0,2022,games
8.0,23.0,36.0,1.0,09:59.98,74320.0,2022,games
9.0,4.0,91.0,1.0,153 cal,74320.0,2022,games
10.0,21.0,40.0,1.0,04:25.84,74320.0,2022,games
11.0,11.0,70.0,1.0,320 lb,74320.0,2022,games
12.0,2.0,96.0,1.0,06:39.88,74320.0,2022,games
13.0,5.0,84.0,1.0,01:39.63,74320.0,2022,games
14.0,5.0,84.0,1.0,08:26.73,74320.0,2022,games
1.0,4.0,91.0,1.0,37:06.17,469656.0,2022,games
2.0,12.0,67.0,1.0,07:09.44,469656.0,2022,games
3.0,1.0,100.0,1.0,19 rep,469656.0,2022,games
4.0,11.0,70.0,1.0,11 pt,469656.0,2022,games
5.0,38.0,6.0,1.0,CAP+36,469656.0,2022,games
6.0,6.0,85.0,1.0,33:16.60,469656.0,2022,games
7.0,13.0,64.0,1.0,14:42.25,469656.0,2022,games
8.0,18.0,49.0,1.0,09:19.82,469656.0,2022,games
9.0,13.0,64.0,1.0,146 cal,469656.0,2022,games
10.0,9.0,76.0,1.0,04:14.48,469656.0,2022,games
11.0,16.0,55.0,1.0,310 lb,469656.0,2022,games
12.0,16.0,43.0,1.0,07:36.55,469656.0,2022,games
13.0,1.0,100.0,1.0,01:17.40,469656.0,2022,games
14.0,6.0,80.0,1.0,08:27.51,469656.0,2022,games
1.0,20.0,43.0,1.0,38:49.81,158264.0,2022,games
2.0,4.0,91.0,1.0,07:05.10,158264.0,2022,games
3.0,35.0,12.0,1.0,5 rep,158264.0,2022,games
4.0,3.0,94.0,1.0,3 pt,158264.0,2022,games
5.0,1.0,100.0,1.0,08:42.16,158264.0,2022,games
6.0,23.0,36.0,1.0,38:24.81,158264.0,2022,games
7.0,8.0,79.0,1.0,14:09.22,158264.0,2022,games
8.0,9.0,76.0,1.0,08:08.35,158264.0,2022,games
9.0,30.0,22.0,1.0,135 cal,158264.0,2022,games
10.0,10.0,73.0,1.0,04:14.77,158264.0,2022,games
11.0,17.0,52.0,1.0,310 lb,158264.0,2022,games
12.0,3.0,92.0,1.0,06:41.12,158264.0,2022,games
13.0,7.0,76.0,1.0,01:45.72,158264.0,2022,games
14.0,15.0,46.0,1.0,08:58.52,158264.0,2022,games
1.0,18.0,49.0,1.0,38:46.82,1020449.0,2022,games
2.0,8.0,79.0,1.0,07:06.45,1020449.0,2022,games
3.0,4.0,91.0,1.0,16 rep,1020449.0,2022,games
4.0,28.0,26.0,1.0,28 pt,1020449.0,2022,games
5.0,29.0,24.0,1.0,CAP+17,1020449.0,2022,games
6.0,5.0,88.0,1.0,33:04.11,1020449.0,2022,games
7.0,30.0,22.0,1.0,16:10.64,1020449.0,2022,games
8.0,2.0,97.0,1.0,06:57.82,1020449.0,2022,games
9.0,22.0,38.0,1.0,141 cal,1020449.0,2022,games
10.0,11.0,70.0,1.0,04:15.87,1020449.0,2022,games
11.0,4.0,91.0,1.0,340 lb,1020449.0,2022,games
12.0,6.0,80.0,1.0,06:48.56,1020449.0,2022,games
13.0,8.0,72.0,1.0,01:52.14,1020449.0,2022,games
14.0,11.0,60.0,1.0,08:46.56,1020449.0,2022,games
1.0,10.0,73.0,1.0,37:48.00,1059467.0,2022,games
2.0,17.0,52.0,1.0,07:12.51,1059467.0,2022,games
3.0,14.0,61.0,1.0,13 rep,1059467.0,2022,games
4.0,8.0,79.0,1.0,8 pt,1059467.0,2022,games
5.0,8.0,79.0,1.0,09:57.34,1059467.0,2022,games
6.0,13.0,64.0,1.0,35:16.42,1059467.0,2022,games
7.0,24.0,34.0,1.0,15:23.78,1059467.0,2022,games
8.0,33.0,16.0,1.0,CAP+37,1059467.0,2022,games
9.0,5.0,88.0,1.0,152 cal,1059467.0,2022,games
10.0,6.0,85.0,1.0,04:08.82,1059467.0,2022,games
11.0,28.0,26.0,1.0,300 lb,1059467.0,2022,games
12.0,9.0,68.0,1.0,06:58.07,1059467.0,2022,games
13.0,22.0,25.0,1.0,03:07.67,1059467.0,2022,games
14.0,1.0,100.0,1.0,07:59.70,1059467.0,2022,games
1.0,7.0,82.0,1.0,37:24.35,81616.0,2022,games
2.0,21.0,40.0,1.0,07:20.13,81616.0,2022,games
3.0,24.0,34.0,1.0,11 rep,81616.0,2022,games
4.0,25.0,32.0,1.0,25 pt,81616.0,2022,games
5.0,2.0,97.0,1.0,09:20.11,81616.0,2022,games
6.0,9.0,76.0,1.0,34:12.77,81616.0,2022,games
7.0,6.0,85.0,1.0,13:39.71,81616.0,2022,games
8.0,16.0,55.0,1.0,09:10.70,81616.0,2022,games
9.0,19.0,46.0,1.0,144 cal,81616.0,2022,games
10.0,15.0,58.0,1.0,04:19.68,81616.0,2022,games
11.0,21.0,40.0,1.0,310 lb,81616.0,2022,games
12.0,12.0,56.0,1.0,07:05.05,81616.0,2022,games
13.0,9.0,68.0,1.0,01:53.77,81616.0,2022,games
14.0,8.0,72.0,1.0,08:36.85,81616.0,2022,games
1.0,24.0,34.0,1.0,39:07.69,686308.0,2022,games
2.0,36.0,10.0,1.0,07:49.76,686308.0,2022,games
3.0,10.0,73.0,1.0,14 rep,686308.0,2022,games
4.0,2.0,97.0,1.0,2 pt,686308.0,2022,games
5.0,30.0,22.0,1.0,CAP+17,686308.0,2022,games
6.0,30.0,22.0,1.0,40:01.96,686308.0,2022,games
7.0,25.0,32.0,1.0,15:36.25,686308.0,2022,games
8.0,10.0,73.0,1.0,08:10.56,686308.0,2022,games
9.0,23.0,36.0,1.0,139 cal,686308.0,2022,games
10.0,1.0,100.0,1.0,03:44.18,686308.0,2022,games
11.0,1.0,100.0,1.0,340 lb,686308.0,2022,games
12.0,4.0,88.0,1.0,06:44.79,686308.0,2022,games
13.0,4.0,88.0,1.0,01:39.43,686308.0,2022,games
14.0,12.0,56.0,1.0,08:48.26,686308.0,2022,games
1.0,13.0,64.0,1.0,38:07.01,310970.0,2022,games
2.0,3.0,94.0,1.0,06:59.06,310970.0,2022,games
3.0,2.0,97.0,1.0,17 rep,310970.0,2022,games
4.0,32.0,18.0,1.0,32 pt,310970.0,2022,games
5.0,32.0,18.0,1.0,CAP+20,310970.0,2022,games
6.0,12.0,67.0,1.0,35:05.62,310970.0,2022,games
7.0,1.0,100.0,1.0,12:40.00,310970.0,2022,games
8.0,11.0,70.0,1.0,08:15.05,310970.0,2022,games
9.0,14.0,61.0,1.0,146 cal,310970.0,2022,games
10.0,23.0,36.0,1.0,04:31.52,310970.0,2022,games
11.0,6.0,85.0,1.0,330 lb,310970.0,2022,games
12.0,22.0,25.0,1.0,08:33.91,310970.0,2022,games
13.0,18.0,37.0,1.0,02:48.93,310970.0,2022,games
14.0,20.0,31.0,1.0,09:20.60,310970.0,2022,games
1.0,14.0,61.0,1.0,38:08.63,2725.0,2022,games
2.0,14.0,61.0,1.0,07:10.36,2725.0,2022,games
3.0,20.0,43.0,1.0,12 rep,2725.0,2022,games
4.0,19.0,46.0,1.0,19 pt,2725.0,2022,games
5.0,4.0,91.0,1.0,09:39.12,2725.0,2022,games
