competitorId,competitorName,firstName,lastName,gender,countryOfOriginName,regionName,affiliateId,affiliateName,age,height,weight,overallRank,overallScore,year,competition
153625.0,Cole Sager,Cole,Sager,M,United States,North America West,967.0,CrossFit Spokane Valley,32.0,71 in,200 lb,,0.0,2023,games
156156.0,Jay Crouch,Jay,Crouch,M,Australia,Oceania,1348.0,Reebok CrossFit Frankston,24.0,175 cm,85 kg,,0.0,2023,games
158264.0,Patrick Vellner,Patrick,Vellner,M,Canada,North America West,1918.0,CrossFit Nanaimo,33.0,71 in,195 lb,,0.0,2023,games
676693.0,Colten Mertens,Colten,Mertens,M,United States,North America West,1324.0,CrossFit Kilo,25.0,64 in,180 lb,,0.0,2023,games
1020449.0,Jayson Hopper,Jayson,Hopper,M,United States,North America East,15471.0,CrossFit Crash,25.0,73 in,220 lb,,0.0,2023,games
327636.0,Samuel Cournoyer,Samuel,Cournoyer,M,Canada,North America East,28908.0,CrossFit ADM Chambly,27.0,180 cm,205 lb,,0.0,2023,games
120333.0,Jason Smith,Jason,Smith,M,South Africa,Africa,22771.0,CrossFit Sunninghill,39.0,185 cm,195 lb,,0.0,2023,games
867741.0,Jack Farlow,Jack,Farlow,M,Canada,North America East,21726.0,CrossFit PSC,21.0,73 in,210 lb,,0.0,2023,games
671093.0,Dallin Pepper,Dallin,Pepper,M,United States,North America East,1893.0,CrossFit Naples,21.0,72 in,215 lb,,0.0,2023,games
469656.0,Jeffrey Adler,Jeffrey,Adler,M,Canada,North America East,18059.0,CrossFit Wonderland,29.0,69 in,197 lb,,0.0,2023,games
1546147.0,Luke Parker,Luke,Parker,M,United States,North America East,3220.0,CrossFit Mayhem,29.0,71 in,205 lb,,0.0,2023,games
180541.0,Alex Vigneault,Alex,Vigneault,M,Canada,North America East,,,31.0,71 in,205 lb,,0.0,2023,games
975774.0,Roman Khrennikov,Roman,Khrennikov,M,United States,North America East,3220.0,CrossFit Mayhem,28.0,182 cm,103 kg,,0.0,2023,games
900251.0,James Sprague,James,Sprague,M,United States,North America East,1893.0,CrossFit Naples,21.0,74 in,210 lb,,0.0,2023,games
35627.0,Will Moorad,Will,Moorad,M,United States,North America East,19593.0,CrossFit East Nashville,34.0,69 in,190 lb,,0.0,2023,games
162712.0,Spencer Panchik,Spencer,Panchik,M,United States,North America East,7991.0,CrossFit Mentality,27.0,68 in,190 lb,,0.0,2023,games
1544576.0,Seher Kaya,Seher,Kaya,F,Turkey,Asia,372.0,CrossFit Oslo,25.0,161 cm,64 kg,,0.0,2023,games
18588.0,Annie Thorisdottir,Annie,Thorisdottir,F,Iceland,Europe,2025.0,CrossFit Reykjavík,33.0,170 cm,152 lb,,0.0,2023,games
